:START_ID,endSFR,:END_ID,:TYPE
FMT_SMR.2,FMT_SMR.2,FMT_SMR.2,HAS_TEXT
FMT_SMR.3,FMT_SMR.3,FMT_SMR.3,HAS_TEXT
FPR_ANO.1,FPR_ANO.1,FPR_ANO.1,HAS_TEXT
FPR_ANO.2,FPR_ANO.2,FPR_ANO.2,HAS_TEXT
FPR_PSE.1,FPR_PSE.1,FPR_PSE.1,HAS_TEXT
FPR_PSE.2,FPR_PSE.2,FPR_PSE.2,HAS_TEXT
FPR_PSE.3,FPR_PSE.3,FPR_PSE.3,HAS_TEXT
FPR_UNL.1,FPR_UNL.1,FPR_UNL.1,HAS_TEXT
FPR_UNO.1,FPR_UNO.1,FPR_UNO.1,HAS_TEXT
FPR_UNO.2,FPR_UNO.2,FPR_UNO.2,HAS_TEXT
FPR_UNO.3,FPR_UNO.3,FPR_UNO.3,HAS_TEXT
FPR_UNO.4,FPR_UNO.4,FPR_UNO.4,HAS_TEXT
FPT_FLS.1,FPT_FLS.1,FPT_FLS.1,HAS_TEXT
FPT_ITA.1,FPT_ITA.1,FPT_ITA.1,HAS_TEXT
FPT_ITC.1,FPT_ITC.1,FPT_ITC.1,HAS_TEXT
FPT_ITI.1,FPT_ITI.1,FPT_ITI.1,HAS_TEXT
FPT_ITI.2,FPT_ITI.2,FPT_ITI.2,HAS_TEXT
FPT_ITT.1,FPT_ITT.1,FPT_ITT.1,HAS_TEXT
FPT_ITT.2,FPT_ITT.2,FPT_ITT.2,HAS_TEXT
FPT_ITT.3,FPT_ITT.3,FPT_ITT.3,HAS_TEXT
FPT_PHP.1,FPT_PHP.1,FPT_PHP.1,HAS_TEXT
FPT_PHP.2,FPT_PHP.2,FPT_PHP.2,HAS_TEXT
FPT_PHP.3,FPT_PHP.3,FPT_PHP.3,HAS_TEXT
FPT_RCV.1,FPT_RCV.1,FPT_RCV.1,HAS_TEXT
FPT_RCV.2,FPT_RCV.2,FPT_RCV.2,HAS_TEXT
FPT_RCV.3,FPT_RCV.3,FPT_RCV.3,HAS_TEXT
FPT_RCV.4,FPT_RCV.4,FPT_RCV.4,HAS_TEXT
FPT_RPL.1,FPT_RPL.1,FPT_RPL.1,HAS_TEXT
FPT_SSP.1,FPT_SSP.1,FPT_SSP.1,HAS_TEXT
FPT_SSP.2,FPT_SSP.2,FPT_SSP.2,HAS_TEXT
FPT_STM.1,FPT_STM.1,FPT_STM.1,HAS_TEXT
FPT_TDC.1,FPT_TDC.1,FPT_TDC.1,HAS_TEXT
FPT_TEE.1,FPT_TEE.1,FPT_TEE.1,HAS_TEXT
FPT_TRC.1,FPT_TRC.1,FPT_TRC.1,HAS_TEXT
FPT_TST.1,FPT_TST.1,FPT_TST.1,HAS_TEXT
FRU_FLT.1,FRU_FLT.1,FRU_FLT.1,HAS_TEXT
FRU_FLT.2,FRU_FLT.2,FRU_FLT.2,HAS_TEXT
FRU_PRS.1,FRU_PRS.1,FRU_PRS.1,HAS_TEXT
FRU_PRS.2,FRU_PRS.2,FRU_PRS.2,HAS_TEXT
FRU_RSA.1,FRU_RSA.1,FRU_RSA.1,HAS_TEXT
FRU_RSA.2,FRU_RSA.2,FRU_RSA.2,HAS_TEXT
FTA_LSA.1,FTA_LSA.1,FTA_LSA.1,HAS_TEXT
FTA_MCS.1,FTA_MCS.1,FTA_MCS.1,HAS_TEXT
FTA_MCS.2,FTA_MCS.2,FTA_MCS.2,HAS_TEXT
FTA_SSL.1,FTA_SSL.1,FTA_SSL.1,HAS_TEXT
FTA_SSL.2,FTA_SSL.2,FTA_SSL.2,HAS_TEXT
FTA_SSL.3,FTA_SSL.3,FTA_SSL.3,HAS_TEXT
FTA_SSL.4,FTA_SSL.4,FTA_SSL.4,HAS_TEXT
FTA_TAB.1,FTA_TAB.1,FTA_TAB.1,HAS_TEXT
FTA_TAH.1,FTA_TAH.1,FTA_TAH.1,HAS_TEXT
FTA_TSE.1,FTA_TSE.1,FTA_TSE.1,HAS_TEXT
FTP_ITC.1,FTP_ITC.1,FTP_ITC.1,HAS_TEXT
FTP_TRP.1,FTP_TRP.1,FTP_TRP.1,HAS_TEXT
